統計年份,月份,詐騙管道,詐騙手法
113年,12月,網路詐騙,假投資
113年,12月,網路詐騙,中獎通知
113年,12月,網路詐騙,解除分期付款(騙賣家)
113年,12月,網路詐騙,假投資
113年,12月,網路詐騙,假投資
113年,12月,網路詐騙,假網拍
113年,12月,網路詐騙,假交友(徵婚詐財)
113年,12月,網路詐騙,其他
113年,12月,網路詐騙,假投資
113年,12月,網路詐騙,假投資
113年,12月,網路詐騙,色情應召詐財
113年,12月,其他,其他
113年,12月,其他,其他
113年,12月,網路詐騙,假交友(徵婚詐財)
113年,12月,其他,其他
113年,12月,其他,其他
113年,12月,網路詐騙,解除分期付款(騙賣家)
113年,12月,網路詐騙,假投資
113年,12月,網路詐騙,假網拍
113年,12月,網路詐騙,假投資
113年,12月,接獲手機簡訊,假借郵件(包裹)招領
113年,12月,網路詐騙,假交友(投資詐財)
113年,12月,網路詐騙,解除分期付款(騙賣家)
113年,12月,網路詐騙,虛擬遊戲詐騙
113年,12月,網路詐騙,假網拍
113年,12月,網路詐騙,假投資
113年,12月,網路詐騙,解除分期付款(騙賣家)
113年,12月,網路詐騙,盜(冒)用 LINE 帳號
113年,12月,網路詐騙,解除分期付款(騙賣家)
113年,12月,網路詐騙,假交友(投資詐財)
113年,12月,網路詐騙,假網拍
113年,12月,網路詐騙,假網拍
113年,12月,網路詐騙,假求職
113年,12月,網路詐騙,假求職
113年,12月,網路詐騙,盜(冒)用 LINE 帳號
113年,12月,網路詐騙,假交友(徵婚詐財)
113年,12月,網路詐騙,假交友(投資詐財)
113年,12月,網路詐騙,假投資
113年,12月,直接與人接觸,假投資
113年,12月,網路詐騙,假網拍
113年,12月,網路詐騙,中獎通知
